,author_id,feature_importance,features,feature_stats,author,feature_names
0,0,"[np.float64(195.96903231129363), np.float64(195.30992760435294), np.float64(190.89504747708412), np.float64(190.65364058229432), np.float64(173.74089593920004)]","[1, 28, 69, 9, 106]","[np.float64(0.0802909009444402), np.float64(0.03609228937013218), np.float64(0.021844024257031035), np.float64(0.05244271958083545), np.float64(0.016833415318431338)]",Abgaryan,"['(X, ->, PROPN, mark)' '(X, <-, NUM, root)' '(VERB, ->, X, aux)'
 '(NOUN, ->, AUX, obl)' '(ADV, <-, VERB, mark)']"
1,1,"[np.float64(309.5416771627051), np.float64(282.13396045299845), np.float64(260.9745927734281), np.float64(230.83164321881878), np.float64(181.2021933380493)]","[30, 0, 10, 190, 174]","[np.float64(0.03621882724126609), np.float64(0.07605745260178538), np.float64(0.044896459780915214), np.float64(0.009871784694787101), np.float64(0.010558260651086546)]",Adamov,"['(NOUN, <-, SCONJ, mark)' '(PROPN, ->, ADJ, advcl)'
 '(X, <-, PRON, nsubj:pass)' '(PRON, <-, PUNCT, cc)'
 '(PROPN, ->, CCONJ, advmod)']"
2,2,"[np.float64(241.57596237015366), np.float64(229.80765152931207), np.float64(227.8971383180073), np.float64(223.4163243972964), np.float64(199.8535451744784)]","[21, 76, 334, 124, 407]","[np.float64(0.056471103912736666), np.float64(0.027233281327932318), np.float64(0.009330554500571304), np.float64(0.01957957092227422), np.float64(0.007683711547110545)]",Aksakov,"['(VERB, ->, INTJ, punct)' '(PRON, ->, PRON, mark)'
 '(INTJ, ->, X, nummod)' '(DET, ->, PAD, ccomp)' '(ADV, ->, AUX, nsubj)']"
3,3,"[np.float64(171.37975462374914), np.float64(160.43743778294143), np.float64(151.71541783197281), np.float64(143.79236476861135), np.float64(138.1499007026123)]","[132, 188, 73, 68, 0]","[np.float64(0.018813515091384837), np.float64(0.01300669604858348), np.float64(0.025084686788513118), np.float64(0.025084686788513118), np.float64(0.09406757545692418)]",AkuninBorisova,"['(X, <-, SCONJ, advmod)' '(ADP, ->, SYM, punct)'
 '(DET, <-, CCONJ, fixed)' '(NUM, ->, ADJ, root)'
 '(PROPN, ->, ADJ, advcl)']"
4,4,"[np.float64(336.8344521197177), np.float64(238.18510812173653), np.float64(235.16553134814086), np.float64(235.07868052299727), np.float64(213.2920041263574)]","[61, 231, 82, 77, 178]","[np.float64(0.03508134518566597), np.float64(0.01432344087497555), np.float64(0.03106955287555159), np.float64(0.03217181676064319), np.float64(0.01745161307334676)]",AkuninBrusnikin,"['(PART, <-, PROPN, conj)' '(VERB, ->, ADV, flat:foreign)'
 '(VERB, <-, PROPN, ccomp)' '(VERB, <-, CCONJ, cc)'
 '(ADP, <-, X, flat:foreign)']"
5,5,"[np.float64(698.3436609520618), np.float64(483.15354395713666), np.float64(295.52115306770185), np.float64(268.96577012816124), np.float64(262.0276139772477)]","[25, 228, 520, 463, 263]","[np.float64(0.056840050501567), np.float64(0.01699531526653887), np.float64(0.009164620414546147), np.float64(0.010131101978276833), np.float64(0.015185890583036257)]",Akunin,"['(AUX, <-, PART, cc)' '(ADP, ->, X, det)' '(ADV, ->, NOUN, orphan)'
 '(ADJ, ->, CCONJ, fixed)' '(DET, ->, NOUN, punct)']"
6,6,"[np.float64(336.59055251282825), np.float64(265.3804817071101), np.float64(257.1718176041518), np.float64(210.07499587828636), np.float64(197.13212721573876)]","[85, 8, 62, 67, 704]","[np.float64(0.03417011678381686), np.float64(0.08655495404855673), np.float64(0.03783209249321304), np.float64(0.03679100244312615), np.float64(0.00610943598758316)]",Aldanov,"['(ADV, ->, ADV, iobj)' '(NOUN, <-, DET, PAD)' '(DET, ->, PRON, acl)'
 '(NUM, <-, PRON, conj)' '(NOUN, <-, DET, root)']"
7,7,"[np.float64(251.2495721327826), np.float64(192.14760694723492), np.float64(189.60538650795806), np.float64(186.64140735340652), np.float64(182.24514383420276)]","[54, 70, 280, 56, 92]","[np.float64(0.04135672651445169), np.float64(0.036745374168538236), np.float64(0.014356104350832954), np.float64(0.04088365756888397), np.float64(0.031149217861635565)]",Aleshkovsky,"['(VERB, <-, INTJ, nsubj)' '(PRON, ->, X, acl:relcl)'
 '(PAD, ->, ADJ, nsubj:pass)' '(ADJ, ->, ADP, advmod)'
 '(ADP, ->, PAD, acl)']"
8,8,"[np.float64(251.69641279889547), np.float64(189.58774832125454), np.float64(169.25363974277374), np.float64(105.07582770357881), np.float64(104.75751703119649)]","[23, 6, 8, 45, 9]","[np.float64(0.05421809319269993), np.float64(0.08478235224644744), np.float64(0.0741845582156415), np.float64(0.03443581594671481), np.float64(0.0741845582156415)]",Alexander Hofman,"['(NOUN, ->, VERB, flat:foreign)' '(VERB, ->, DET, fixed)'
 '(NOUN, <-, DET, PAD)' '(DET, <-, PART, root)' '(NOUN, ->, AUX, obl)']"
9,9,"[np.float64(246.9454756367514), np.float64(197.12780057935467), np.float64(176.3576777911798), np.float64(175.86907239501835), np.float64(166.41203593158306)]","[73, 156, 1245, 226, 617]","[np.float64(0.02773849033408461), np.float64(0.018281237193814644), np.float64(0.00151429329191286), np.float64(0.013507048358487043), np.float64(0.004884178479006457)]",Astafiev,"['(DET, <-, CCONJ, fixed)' '(PART, <-, PUNCT, advmod)'
 '(PUNCT, ->, CCONJ, appos)' '(PROPN, <-, PART, flat)'
 '(X, <-, ADV, acl:relcl)']"
