,author_id,z_score,features,feature_stats,tfidf,author,feature_names
0,0,"[np.float64(2.4790538209119384), np.float64(2.373834008773136), np.float64(2.3398088015446166), np.float64(2.027477042506582), np.float64(1.6629103948400235)]","[1325, 168, 740, 1357, 867]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0008854545268868092), np.float64(-9.434225793992845e-12), np.float64(0.0014643375268351391), np.float64(0.0)]",Abgaryan,"['(PRON, ->, PRON, orphan)' '(PRON, ->, NUM, nummod:gov)'
 '(VERB, <-, SCONJ, cc)' '(VERB, <-, NOUN, obl)' '(VERB, <-, NOUN, obj)']"
1,1,"[np.float64(8.158170240398247), np.float64(1.5159146644469381), np.float64(0.9889926554006953), np.float64(0.7873130101521331), np.float64(0.6952465238958365)]","[202, 1203, 859, 761, 544]","[2, 0, 0, 0, 0]","[np.float64(0.009154163506935709), np.float64(0.0049501769642688095), np.float64(0.00012135779367977136), np.float64(0.0007054259627362366), np.float64(0.0071867548477061215)]",Adamov,"['(VERB, ->, ADV, xcomp)' '(ADJ, <-, PRON, det)' '(NUM, ->, VERB, acl)'
 '(AUX, ->, PROPN, root)' '(VERB, <-, CCONJ, mark)']"
2,2,"[np.float64(5.631719024779759), np.float64(4.263029948049097), np.float64(2.520621680114124), np.float64(2.1972227649063067), np.float64(2.179593667222476)]","[257, 804, 1209, 983, 599]","[105, 0, 0, 0, 0]","[np.float64(0.011749249293074934), np.float64(0.022109006843696873), np.float64(0.0024653051529485957), np.float64(0.0017327236864594013), np.float64(0.024753319793529335)]",Aksakov,"['(PRON, <-, ADV, advmod)' '(ADV, ->, PART, cc)' '(NOUN, ->, ADV, amod)'
 '(ADJ, ->, PROPN, flat:foreign)' '(ADV, ->, PART, root)']"
3,3,"[np.float64(5.511714088768367), np.float64(2.450139743689057), np.float64(2.2815189010449335), np.float64(1.4596428376349724), np.float64(0.9591872736594297)]","[519, 824, 1340, 1158, 388]","[0, 0, 77, 0, 0]","[np.float64(0.012542343394256559), np.float64(0.018813515091384837), np.float64(0.0062711716971282794), np.float64(0.0), np.float64(0.004402692155736427)]",AkuninBorisova,"['(PRON, <-, AUX, cop)' '(VERB, <-, ADV, parataxis)'
 '(VERB, ->, DET, iobj)' '(AUX, <-, ADV, mark)' '(PRON, <-, DET, det)']"
4,4,"[np.float64(5.4905153382781045), np.float64(5.255299185845161), np.float64(5.182334765506475), np.float64(4.1859177287118134), np.float64(2.9334091493034875)]","[603, 1326, 59, 161, 990]","[0, 1, 0, 0, 26]","[np.float64(0.0008032008066118069), np.float64(0.005685273413870737), np.float64(0.0), np.float64(0.035294931900155625), np.float64(0.0189405256530417)]",AkuninBrusnikin,"['(ADJ, <-, NUM, advmod)' '(AUX, ->, NOUN, appos)'
 '(VERB, ->, PROPN, xcomp)' '(VERB, ->, PROPN, flat:foreign)'
 '(DET, <-, CCONJ, advmod)']"
5,5,"[np.float64(2.366089280053233), np.float64(2.224955520108612), np.float64(2.116072760454988), np.float64(1.726872482804384), np.float64(1.6162796930689414)]","[1235, 702, 1396, 1339, 1071]","[0, 0, 0, 0, 0]","[np.float64(0.00039147996884083413), np.float64(0.009990990558230608), np.float64(0.02335666822125917), np.float64(0.014625003030349871), np.float64(0.0029805776108596973)]",Akunin,"['(X, <-, PRON, iobj)' '(ADJ, ->, PAD, conj)' '(NUM, <-, AUX, cop)'
 '(ADJ, <-, ADV, iobj)' '(NOUN, <-, ADJ, appos)']"
6,6,"[np.float64(2.5732614901643838), np.float64(1.8623228673664642), np.float64(1.8146998336896965), np.float64(1.7112160379456922), np.float64(1.5094502400500482)]","[1093, 1221, 690, 1403, 809]","[2, 0, 0, 0, 0]","[np.float64(0.0015493284050849955), np.float64(0.009203268216422372), np.float64(0.0006996337602004225), np.float64(0.0057054190663644614), np.float64(0.003681875456146238)]",Aldanov,"['(NUM, <-, SCONJ, advmod)' '(NOUN, <-, PAD, cop)'
 '(SCONJ, <-, ADP, case)' '(NOUN, ->, PRON, flat:name)'
 '(DET, ->, PRON, fixed)']"
7,7,"[np.float64(3.874255551041907), np.float64(3.858194869642337), np.float64(3.3456282606051087), np.float64(3.067279255122015), np.float64(3.045154405596274)]","[240, 1428, 476, 781, 242]","[0, 0, 1, 1, 0]","[np.float64(0.000881461581578597), np.float64(0.01790472395426923), np.float64(0.015866780055632086), np.float64(-1.830464729592419e-11), np.float64(0.007990118873040372)]",Aleshkovsky,"['(PROPN, <-, PRON, nmod)' '(PART, ->, PROPN, parataxis)'
 '(NOUN, ->, ADV, appos)' '(INTJ, ->, INTJ, root)' '(PROPN, ->, DET, det)']"
8,8,"[np.float64(24.474510721194736), np.float64(8.492469716263026), np.float64(7.2206930085068395), np.float64(6.002058332014767), np.float64(5.555205628645285)]","[1144, 1211, 715, 518, 608]","[8, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0035325980102686436), np.float64(0.0), np.float64(6.892290142481179e-05), np.float64(0.009524800155474309)]",Alexander Hofman,"['(PROPN, <-, NOUN, nmod)' '(ADV, ->, SYM, mark)' '(PROPN, ->, ADJ, conj)'
 '(VERB, ->, VERB, punct)' '(PUNCT, <-, ADJ, amod)']"
9,9,"[np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298683), np.float64(5.353344823611159), np.float64(5.178174554152604)]","[327, 722, 521, 1443, 518]","[1, 1, 0, 21, 0]","[np.float64(0.0028834591631977467), np.float64(0.009515962384397064), np.float64(0.004923246917397193), np.float64(-5.136272113107831e-11), np.float64(0.0)]",Astafiev,"['(PUNCT, ->, NOUN, nsubj)' '(ADJ, ->, PROPN, flat:name)'
 '(DET, ->, PRON, acl)' '(NOUN, ->, CCONJ, cc)' '(VERB, ->, VERB, punct)']"
